portfolio,plant,bid_h1,bid_h2,bid_h3,bid_h4,mwh_h1,mwh_h2,mwh_h3,mwh_h4,carbon_h1,carbon_h2,carbon_h3,carbon_h4,revenue_h1,revenue_h2,revenue_h3,revenue_h4,cost_h1,cost_h2,cost_h3,cost_h4,cost_om
1,Four_corners,0,0,0,0,1900,1900,1900,1900,2090.0,2090.0,2090.0,2090.0,0,0,0,0,132050.0,132050.0,132050.0,132050.0,8000
1,Alamitos_7,0,0,0,0,250,250,250,250,212.5,212.5,212.5,212.5,0,0,0,0,24805.0,24805.0,24805.0,24805.0,0
1,Huntington_beach_1-2,0,0,0,0,300,300,300,300,138.0,138.0,138.0,138.0,0,0,0,0,16290.0,16290.0,16290.0,16290.0,2000
1,Huntington_beach_5,0,0,0,0,150,150,150,150,115.5,115.5,115.5,115.5,0,0,0,0,13440.0,13440.0,13440.0,13440.0,2000
1,Redondo_5-6,0,0,0,0,350,350,350,350,168.0,168.0,168.0,168.0,0,0,0,0,19719.0,19719.0,19719.0,19719.0,3000
1,Redondo_7-8,0,0,0,0,950,950,950,950,456.0,456.0,456.0,456.0,0,0,0,0,53523.0,53523.0,53523.0,53523.0,5000
2,El_segundo_1-2,0,0,0,0,400,400,400,400,204.0,204.0,204.0,204.0,0,0,0,0,24052.0,24052.0,24052.0,24052.0,1000
2,El_segundo_3-4,0,0,0,0,650,650,650,650,305.5,305.5,305.5,305.5,0,0,0,0,35958.0,35958.0,35958.0,35958.0,1000
2,Long_beach,0,0,0,0,550,550,550,550,335.5,335.5,335.5,335.5,0,0,0,0,38940.0,38940.0,38940.0,38940.0,2000
2,North_island,0,0,0,0,150,150,150,150,115.5,115.5,115.5,115.5,0,0,0,0,13290.0,13290.0,13290.0,13290.0,0
2,Encina,0,0,0,0,950,950,950,950,465.5,465.5,465.5,465.5,0,0,0,0,53551.5,53551.5,53551.5,53551.5,2000
2,Kearny,0,0,0,0,200,200,200,200,212.0,212.0,212.0,212.0,0,0,0,0,24372.0,24372.0,24372.0,24372.0,0
2,South_bay,0,0,0,0,700,700,700,700,357.0,357.0,357.0,357.0,0,0,0,0,41391.0,41391.0,41391.0,41391.0,2000
3,Morro_bay_1-2,0,0,0,0,335,335,335,335,150.75,150.75,150.75,150.75,0,0,0,0,17513.800000000003,17513.800000000003,17513.800000000003,17513.800000000003,2000
3,Morro_bay_3-4,0,0,0,0,665,665,665,665,285.95,285.95,285.95,285.95,0,0,0,0,32924.149999999994,32924.149999999994,32924.149999999994,32924.149999999994,4000
3,Moss_landing_6,0,0,0,0,750,750,750,750,277.5,277.5,277.5,277.5,0,0,0,0,32745.0,32745.0,32745.0,32745.0,8000
3,Moss_landing_7,0,0,0,0,750,750,750,750,277.5,277.5,277.5,277.5,0,0,0,0,32745.0,32745.0,32745.0,32745.0,8000
3,Oakland,0,0,0,0,150,150,150,150,108.0,108.0,108.0,108.0,0,0,0,0,12415.5,12415.5,12415.5,12415.5,0
4,Coolwater,0,0,0,0,650,650,650,650,318.5,318.5,318.5,318.5,0,0,0,0,37108.5,37108.5,37108.5,37108.5,2000
4,Etiwanda_1-4,0,0,0,0,580.0000089873174,850,850,850,284.20000440378556,416.5,416.5,416.5,0.0,0,0,0,33274.600515602404,48764.5,48764.5,48764.5,8000
4,Etiwanda_5,0,0,0,0,0.0,150,150,150,0.0,108.0,108.0,108.0,0.0,0,0,0,0.0,12673.5,12673.5,12673.5,1000
4,Ellwood,0,0,0,0,0.0,300,300,300,0.0,267.0,267.0,267.0,0.0,0,0,0,0.0,30693.0,30693.0,30693.0,0
4,Mandalay_1-2,0,0,0,0,0.0,300,300,300,0.0,132.0,132.0,132.0,0.0,0,0,0,0.0,15678.0,15678.0,15678.0,1000
4,Mandalay_3,0,0,0,0,0.0,150,150,150,0.0,90.0,90.0,90.0,0.0,0,0,0,0.0,10509.0,10509.0,10509.0,1000
4,Ormond_beach_1,0,0,0,0,0.0,700,700,700,0.0,308.0,308.0,308.0,0.0,0,0,0,0.0,35882.0,35882.0,35882.0,7000
4,Ormond_beach_2,0,0,0,0,0.0,700,700,700,0.0,308.0,308.0,308.0,0.0,0,0,0,0.0,35882.0,35882.0,35882.0,7000
5,Pittsburgh_1-4,0,0,0,0,0.0,650,650,650,0.0,312.0,312.0,312.0,0.0,0,0,0,0.0,35971.0,35971.0,35971.0,2500
5,Pittsburgh_5-6,0,0,0,0,0.0,549.9999316948924,650,265.0001980936486,0.0,236.49997062880374,279.5,113.95008518026889,0.0,0.0,0,0.0,0.0,27230.49661821412,32181.5,13120.15980761654,2500
5,Pittsburgh_7,0,0,0,0,0.0,0.0,700,0.0,0.0,0.0,489.99999999999994,0.0,0.0,0.0,0,0.0,0.0,0.0,56504.0,0.0,4000
5,Contra_costa_4-5,0,0,0,0,0.0,0.0,150,0.0,0.0,0.0,102.00000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,11802.0,0.0,1000
5,Contra_costa_6-7,0,0,0,0,0.0,0.0,700,0.0,0.0,0.0,322.0,0.0,0.0,0.0,0,0.0,0.0,0.0,37310.0,0.0,6000
5,Potrero_hill,0,0,0,0,0.0,0.0,150,0.0,0.0,0.0,122.99999999999999,0.0,0.0,0.0,0,0.0,0.0,0.0,14164.5,0.0,0
6,Big_creek,0,0,0,0,0.0,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15000
6,Mohave_1,0,0,0,0,0.0,0.0,750,0.0,0.0,0.0,705.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47025.0,0.0,15000
6,Mohave_2,0,0,0,0,0.0,0.0,750,0.0,0.0,0.0,705.0,0.0,0.0,0.0,0,0.0,0.0,0.0,47025.0,0.0,15000
6,Highgrove,0,0,0,0,0.0,0.0,150,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0,0.0,0.0,0.0,10051.5,0.0,0
6,San_bernadino,0,0,0,0,0.0,0.0,100,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7284.0,0.0,0
7,Humboldt,0,0,0,0,0.0,0.0,150,0.0,0.0,0.0,82.5,0.0,0.0,0.0,0,0.0,0.0,0.0,9591.0,0.0,0
7,Helms,0,0,0,0,0.0,0.0,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,400.0,0.0,15000
7,Hunters_point_1-2,0,0,0,0,0.0,0.0,150,0.0,0.0,0.0,84.00000000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,9895.5,0.0,1000
7,Hunters_point_4,0,0,0,0,0.0,0.0,250,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0,0.0,0.0,0.0,25572.5,0.0,1000
7,Diablo_canyon_1,0,0,0,0,0.0,0.0,371.9999939798072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4277.999930767783,0.0,20000
